@relation 212700L1_2final

@attribute 'status pozyczki' {splacona,splacona_cz,windykacja,odmowa,windykacja_sp}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,13,1017,1,285.97,68,K,157,48,1
splacona_cz,11,658,0,200,46,K,89,48,0
splacona_cz,13,729.03,1,300,70,K,253,48,0
splacona,11,2031,1,600,56,M,110,48,0
splacona_cz,17,990,1,400,50,K,68,48,0
splacona_cz,11,2080,1,300,53,M,314,48,0
odmowa,12,1250,0,300,31,M,11,11,0
splacona_cz,12,1017,0,200,36,M,53,48,0
splacona_cz,13,910,1,200,66,K,65,48,0
splacona,11,1400,0,300,23,M,20,48,0
odmowa,98,3000,0,800,45,K,7,48,0
splacona_cz,11,1700,0,500,36,K,193,48,1
splacona_cz,12,1040,1,400,52,K,14,19,0
splacona,11,2500,0,300,36,M,151,48,0
odmowa,11,3500,0,1000,47,M,30,48,0
splacona_cz,13,1244.77,1,300,58,K,35,48,1
windykacja_sp,11,1060.96,0,400,34,M,5,48,464
splacona_cz,13,960,1,300,73,M,136,48,7
splacona_cz,13,1457,0,300,73,M,75,48,0
odmowa,99,1000,0,200,42,K,9,11,0
splacona_cz,12,700,0,200,40,M,5,23,0
splacona_cz,13,722.05,0,200,71,K,193,48,6
splacona_cz,13,1216,1,200,66,K,137,48,0
windykacja,12,2000,0,500,34,K,3,5,2114
splacona_cz,13,1872,1,700,58,K,31,48,1
splacona_cz,13,3440,1,800,55,K,47,48,8
splacona,12,1463.56,1,300,43,M,1,12,0
windykacja_sp,11,2478,0,540.54,36,K,153,48,436
splacona_cz,12,855,1,600,31,K,40,48,0
splacona_cz,98,4000,1,500.8,35,K,14,48,1
splacona,11,4900,0,500,50,K,7,48,0
splacona_cz,13,1280,1,400,61,K,13,48,0
splacona_cz,11,2200,1,500,35,M,81,48,8
splacona_cz,12,1540,0,600,33,K,35,39,0
splacona_cz,12,1000,1,300,50,K,28,29,9
