@relation '212700L1_2final-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_splacona_cz:dobry-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja_odmowa_windykacja_sp:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5'

@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
99,980,1,449.7,'\'(-inf-30.4]\'',M,7,8,dobry
13,665.92,1,200,'\'(55.2-67.6]\'',K,121,48,dobry
13,1667,0,500,'\'(67.6-inf)\'',K,152,48,dobry
13,3900,1,300,'\'(42.8-55.2]\'',M,26,48,dobry
16,685,0,200,'\'(42.8-55.2]\'',K,37,48,dobry
16,959.6,0,200,'\'(67.6-inf)\'',K,111,48,dobry
13,1031,0,400,'\'(55.2-67.6]\'',K,117,48,dobry
11,1800,0,600,'\'(30.4-42.8]\'',K,47,48,dobry
13,1072,1,432.44,'\'(67.6-inf)\'',K,149,48,dobry
17,985,1,200,'\'(-inf-30.4]\'',M,9,11,dobry
11,1136.8,0,200,'\'(-inf-30.4]\'',M,5,48,dobry
99,2800,1,200,'\'(30.4-42.8]\'',K,6,6,dobry
11,770,1,200,'\'(42.8-55.2]\'',K,99,48,zly
99,750,0,300,'\'(-inf-30.4]\'',M,0,5,dobry
11,2670,1,800,'\'(55.2-67.6]\'',K,84,48,dobry
16,1313.41,0,400,'\'(55.2-67.6]\'',M,23,48,dobry
13,2291,1,700,'\'(67.6-inf)\'',K,67,48,dobry
13,1454.91,0,400,'\'(55.2-67.6]\'',K,38,48,dobry
11,2258,1,700,'\'(30.4-42.8]\'',M,71,48,dobry
13,1362,1,500,'\'(55.2-67.6]\'',K,52,48,dobry
11,2837,1,662.69,'\'(-inf-30.4]\'',M,122,48,dobry
13,714,1,200,'\'(55.2-67.6]\'',K,218,48,dobry
13,1026,1,200,'\'(67.6-inf)\'',K,243,48,dobry
15,482.94,0,200,'\'(55.2-67.6]\'',M,147,48,zly
13,1261.6,0,400,'\'(55.2-67.6]\'',M,49,48,dobry
13,1442.43,1,200,'\'(67.6-inf)\'',K,137,48,dobry
16,588,1,600,'\'(42.8-55.2]\'',M,418,48,dobry
12,1600,0,200,'\'(-inf-30.4]\'',K,0,2,zly
13,1668,1,352.42,'\'(55.2-67.6]\'',K,87,48,dobry
11,980,0,300,'\'(42.8-55.2]\'',K,196,48,dobry
12,1000,1,300,'\'(42.8-55.2]\'',M,39,48,dobry
17,926,1,300,'\'(-inf-30.4]\'',M,52,48,dobry
13,1240,1,300,'\'(55.2-67.6]\'',K,66,48,dobry
17,926,1,520.7,'\'(-inf-30.4]\'',M,52,48,dobry
13,1377.23,1,888.47,'\'(67.6-inf)\'',K,253,48,dobry
12,1000,1,200,'\'(30.4-42.8]\'',M,2,3,zly
11,1888.27,0,400,'\'(-inf-30.4]\'',M,73,48,dobry
11,1110,0,400,'\'(-inf-30.4]\'',M,6,48,dobry
13,865,1,300,'\'(67.6-inf)\'',K,123,48,dobry
16,1045.6,1,500,'\'(42.8-55.2]\'',K,8,48,dobry
12,900,1,400,'\'(-inf-30.4]\'',M,14,20,dobry
13,930,1,673.09,'\'(55.2-67.6]\'',K,90,48,dobry
11,1600,0,400,'\'(42.8-55.2]\'',M,44,48,dobry
11,3250,0,500,'\'(42.8-55.2]\'',M,1,48,dobry
13,1250,0,200,'\'(55.2-67.6]\'',M,63,48,dobry
13,802.83,0,200,'\'(55.2-67.6]\'',K,197,48,dobry
13,634.64,0,250,'\'(55.2-67.6]\'',K,8,48,dobry
13,1370,0,900,'\'(55.2-67.6]\'',K,72,48,dobry
11,1400,1,300,'\'(42.8-55.2]\'',K,21,48,dobry
17,749.74,1,200,'\'(42.8-55.2]\'',M,107,48,dobry
11,2200,0,900,'\'(30.4-42.8]\'',K,33,48,dobry
13,670,1,200,'\'(55.2-67.6]\'',K,62,48,dobry
11,1700,1,281.29,'\'(42.8-55.2]\'',K,201,48,dobry
98,450,0,200,'\'(42.8-55.2]\'',M,1,48,zly
11,2250.05,1,500,'\'(55.2-67.6]\'',M,172,48,dobry
99,645.31,0,300,'\'(42.8-55.2]\'',K,6,11,dobry
11,1187.06,0,200,'\'(55.2-67.6]\'',K,129,48,dobry
13,1090.14,0,400,'\'(55.2-67.6]\'',K,71,48,dobry
13,785,0,200,'\'(67.6-inf)\'',K,60,48,dobry
13,2802,1,700,'\'(67.6-inf)\'',M,243,48,dobry
11,1577.42,1,400,'\'(42.8-55.2]\'',K,201,48,dobry
12,3000,1,626.61,'\'(30.4-42.8]\'',M,3,10,dobry
12,1210,0,200,'\'(42.8-55.2]\'',M,3,9,dobry
11,3600,0,1000,'\'(30.4-42.8]\'',M,48,48,zly
99,611.36,0,300,'\'(55.2-67.6]\'',M,8,12,dobry
11,2700,1,500,'\'(30.4-42.8]\'',M,11,48,dobry
12,600,1,300,'\'(42.8-55.2]\'',M,5,27,dobry
17,1200,1,200,'\'(-inf-30.4]\'',K,161,48,dobry
11,1077.49,0,300,'\'(42.8-55.2]\'',K,367,48,dobry
13,1291.18,1,400,'\'(67.6-inf)\'',K,75,48,dobry
11,1033,0,400,'\'(30.4-42.8]\'',M,32,48,dobry
11,1800,1,500,'\'(42.8-55.2]\'',K,49,48,dobry
11,980,0,800,'\'(42.8-55.2]\'',M,108,48,zly
11,2050,1,575.74,'\'(30.4-42.8]\'',M,114,48,dobry
11,2400,0,600,'\'(30.4-42.8]\'',K,109,48,dobry
12,1700,1,400,'\'(42.8-55.2]\'',K,51,48,dobry
13,1408.27,0,300,'\'(55.2-67.6]\'',M,72,48,zly
16,1389,0,200,'\'(55.2-67.6]\'',K,87,48,dobry
16,763.38,0,200,'\'(55.2-67.6]\'',M,207,48,dobry
13,1017,1,285.97,'\'(67.6-inf)\'',K,157,48,dobry
11,658,0,200,'\'(42.8-55.2]\'',K,89,48,dobry
13,729.03,1,300,'\'(67.6-inf)\'',K,253,48,dobry
11,2031,1,600,'\'(55.2-67.6]\'',M,110,48,dobry
17,990,1,400,'\'(42.8-55.2]\'',K,68,48,dobry
11,2080,1,300,'\'(42.8-55.2]\'',M,314,48,dobry
12,1250,0,300,'\'(30.4-42.8]\'',M,11,11,zly
12,1017,0,200,'\'(30.4-42.8]\'',M,53,48,dobry
13,910,1,200,'\'(55.2-67.6]\'',K,65,48,dobry
11,1400,0,300,'\'(-inf-30.4]\'',M,20,48,dobry
98,3000,0,800,'\'(42.8-55.2]\'',K,7,48,zly
11,1700,0,500,'\'(30.4-42.8]\'',K,193,48,dobry
12,1040,1,400,'\'(42.8-55.2]\'',K,14,19,dobry
11,2500,0,300,'\'(30.4-42.8]\'',M,151,48,dobry
11,3500,0,1000,'\'(42.8-55.2]\'',M,30,48,zly
13,1244.77,1,300,'\'(55.2-67.6]\'',K,35,48,dobry
11,1060.96,0,400,'\'(30.4-42.8]\'',M,5,48,zly
13,960,1,300,'\'(67.6-inf)\'',M,136,48,dobry
13,1457,0,300,'\'(67.6-inf)\'',M,75,48,dobry
99,1000,0,200,'\'(30.4-42.8]\'',K,9,11,zly
12,700,0,200,'\'(30.4-42.8]\'',M,5,23,dobry
13,722.05,0,200,'\'(67.6-inf)\'',K,193,48,dobry
13,1216,1,200,'\'(55.2-67.6]\'',K,137,48,dobry
12,2000,0,500,'\'(30.4-42.8]\'',K,3,5,zly
13,1872,1,700,'\'(55.2-67.6]\'',K,31,48,dobry
13,3440,1,800,'\'(42.8-55.2]\'',K,47,48,dobry
12,1463.56,1,300,'\'(42.8-55.2]\'',M,1,12,dobry
11,2478,0,540.54,'\'(30.4-42.8]\'',K,153,48,zly
12,855,1,600,'\'(30.4-42.8]\'',K,40,48,dobry
98,4000,1,500.8,'\'(30.4-42.8]\'',K,14,48,dobry
11,4900,0,500,'\'(42.8-55.2]\'',K,7,48,dobry
13,1280,1,400,'\'(55.2-67.6]\'',K,13,48,dobry
11,2200,1,500,'\'(30.4-42.8]\'',M,81,48,dobry
12,1540,0,600,'\'(30.4-42.8]\'',K,35,39,dobry
12,1000,1,300,'\'(42.8-55.2]\'',K,28,29,dobry
16,726,1,300,'\'(55.2-67.6]\'',M,229,48,dobry
13,1530,1,500,'\'(55.2-67.6]\'',M,31,48,dobry
12,1000,1,300,'\'(42.8-55.2]\'',M,5,5,zly
11,1552.16,1,449.61,'\'(42.8-55.2]\'',M,94,48,dobry
11,2709.34,1,369.96,'\'(30.4-42.8]\'',K,177,48,dobry
12,2673.17,1,600,'\'(42.8-55.2]\'',M,108,48,dobry
13,1169,0,300,'\'(55.2-67.6]\'',M,75,48,zly
13,1561.87,0,400,'\'(55.2-67.6]\'',M,193,48,dobry
11,2470,1,426.61,'\'(42.8-55.2]\'',K,350,48,dobry
11,963.57,0,200,'\'(42.8-55.2]\'',K,211,48,zly
11,1344.9,0,300,'\'(42.8-55.2]\'',K,42,48,dobry
13,930,1,200,'\'(67.6-inf)\'',K,235,48,dobry
13,1125,1,200,'\'(55.2-67.6]\'',K,121,48,dobry
11,980.11,1,400,'\'(30.4-42.8]\'',K,41,48,dobry
12,1000,1,300,'\'(55.2-67.6]\'',M,8,10,dobry
13,1611,1,300,'\'(55.2-67.6]\'',M,137,48,dobry
13,1200,1,500,'\'(67.6-inf)\'',K,115,48,dobry
12,1215.64,0,800,'\'(55.2-67.6]\'',K,7,48,zly
13,1050,1,600,'\'(55.2-67.6]\'',K,135,48,dobry
13,1199.37,0,300,'\'(55.2-67.6]\'',K,11,48,dobry
13,1400,0,400,'\'(55.2-67.6]\'',K,50,48,dobry
12,1300,1,600,'\'(-inf-30.4]\'',M,23,41,dobry
11,1721.7,1,335.97,'\'(42.8-55.2]\'',K,116,48,dobry
17,798.8,1,300,'\'(42.8-55.2]\'',M,145,48,dobry
11,1500,0,200,'\'(55.2-67.6]\'',M,391,48,dobry
12,980,1,200,'\'(30.4-42.8]\'',K,6,6,dobry
13,1000,0,200,'\'(67.6-inf)\'',K,207,48,dobry
13,919,1,430,'\'(55.2-67.6]\'',K,137,48,dobry
12,1032,1,300,'\'(42.8-55.2]\'',K,34,40,dobry
12,2000,0,700,'\'(30.4-42.8]\'',M,6,12,zly
13,856,0,200,'\'(55.2-67.6]\'',K,53,48,dobry
11,2700,1,1000,'\'(-inf-30.4]\'',M,60,48,dobry
16,1770,1,500,'\'(55.2-67.6]\'',M,85,48,dobry
16,1788,1,300,'\'(42.8-55.2]\'',K,59,48,zly
12,599.03,0,200,'\'(30.4-42.8]\'',K,15,18,dobry
12,1000,1,231.22,'\'(42.8-55.2]\'',M,8,39,dobry
13,1085,1,400,'\'(55.2-67.6]\'',K,162,48,dobry
13,1900,1,500,'\'(55.2-67.6]\'',M,146,48,dobry
12,1963.88,0,400,'\'(42.8-55.2]\'',M,2,5,dobry
13,1772.53,0,400,'\'(67.6-inf)\'',M,276,48,dobry
16,1100,1,600,'\'(67.6-inf)\'',M,133,48,dobry
16,1473.04,0,400,'\'(55.2-67.6]\'',M,161,48,dobry
13,1026,1,300,'\'(55.2-67.6]\'',K,51,48,dobry
13,917,0,300,'\'(55.2-67.6]\'',K,72,48,dobry
13,1160,0,500,'\'(55.2-67.6]\'',K,74,48,dobry
98,3178,1,500,'\'(42.8-55.2]\'',M,197,48,dobry
11,932.34,1,200,'\'(42.8-55.2]\'',K,391,48,dobry
13,1420,0,200,'\'(67.6-inf)\'',M,49,48,dobry
17,734.94,0,200,'\'(42.8-55.2]\'',K,18,24,zly
11,1443,1,600,'\'(42.8-55.2]\'',K,29,48,dobry
13,2100,1,1000,'\'(67.6-inf)\'',K,51,48,dobry
13,936,1,300,'\'(55.2-67.6]\'',K,27,48,dobry
13,757.1,0,200,'\'(55.2-67.6]\'',K,194,48,zly
13,1083.23,1,200,'\'(55.2-67.6]\'',K,93,48,dobry
11,970,0,300,'\'(42.8-55.2]\'',M,194,48,zly
12,1300,0,300,'\'(-inf-30.4]\'',K,4,12,dobry
12,1500,0,300,'\'(-inf-30.4]\'',K,0,2,dobry
16,1362,1,400,'\'(42.8-55.2]\'',K,25,48,dobry
16,1138.01,0,300,'\'(67.6-inf)\'',K,3,48,dobry
13,2113.24,0,400,'\'(55.2-67.6]\'',K,57,48,dobry
11,1400,1,300,'\'(42.8-55.2]\'',K,157,48,dobry
13,3040,1,700,'\'(55.2-67.6]\'',M,197,48,dobry
13,1921,1,200,'\'(67.6-inf)\'',M,85,48,dobry
12,984.34,0,200,'\'(42.8-55.2]\'',K,14,20,dobry
13,580,1,800,'\'(55.2-67.6]\'',K,115,48,dobry
11,1000,1,300,'\'(-inf-30.4]\'',M,53,48,dobry
13,1820,1,1000,'\'(55.2-67.6]\'',K,65,48,dobry
11,901,0,300,'\'(-inf-30.4]\'',K,36,48,dobry
13,2000,1,250,'\'(67.6-inf)\'',M,41,48,dobry
11,1077,1,200,'\'(42.8-55.2]\'',K,179,48,dobry
13,1162.41,1,250,'\'(67.6-inf)\'',M,100,48,dobry
11,1870,0,200,'\'(42.8-55.2]\'',K,260,48,zly
